NGEN,NO,ind,fitness,theta
87,10,"AND1(ANDN(Negative(AND1(ORN1(x1, x1), XOR1(x1, x2))), AND1(XOR1(x1, x1), ORN1(NAND(Positive(x2), ANDN(x1, x1)), x2))), XNOR(x1, x1))","(0.22414617561098837, 25)","[1.775214991722788, 2, 1.1958365943982683, 1.7065583218937177, 0, 1.565554320942845, 0.9241634797467142, 0.056410488471948295, 0, 2, 0, 1.1309969177035513, 0.11563248162034323]"
87,11,"AND1(XNOR(x1, x1), Positive(ANDN(x2, x2)))","(0.22415726439031702, 8)","[1.4700469710801336, 1.6241454320380395, 1.495343730889741, 0.5170041225167321]"
87,12,"AND1(ANDN(Negative(NOR1(x2, x1)), Positive(ORN1(x1, x1))), XNOR(x1, x1))","(0.2241838410588386, 13)","[1.1749142548769027, 0.5915914426815834, 1.2698515106979382, 0.2597220838246892, 1.9508554763894022, 0.7635894735329378, 1.261147169523077]"
87,13,"AND1(ANDN(Negative(AND1(ORN1(NOR1(Positive(x1), Negative(x2)), x1), XOR1(x1, x2))), AND1(XOR1(x1, x1), ORN1(XNOR(x2, x1), x2))), XNOR(x1, x1))","(0.22418780412573705, 26)","[1.597698917774286, 1.014201625291563, 0.656971766031761, 1.2023030875302336, 1.137416441218177, 0, 0.5120984854181712, 2, 2, 0.38736349715583107, 0, 1.793829259632433, 1.0211110586405394, 1.4759414112202591]"
87,14,"AND1(ANDN(Negative(XOR1(AND1(x2, x2), AND1(x2, x2))), AND1(XOR1(x1, ANDN(ORN1(ANDN(x1, x2), x2), NOR1(x2, x1))), ORN1(x1, x2))), XNOR(x1, x1))","(0.22422643379016904, 28)","[1.7732988013989357, 0.04374169794897331, 0.13473700884899675, 1.7206787436702784, 1.8597679491689696, 0.1544245047517825, 0.4406558077136602, 1.3735806027257487, 0.8461137686035627, 0.6535532438839935, 0.7006407505683332, 0.8269416275613848, 1.045440328647678, 1.5672782909831813]"
87,15,"AND1(ANDN(Negative(XOR1(AND1(x2, x2), ORN1(AND1(x2, XNOR(NAND(x2, x2), AND1(x2, x1))), x2))), AND1(XOR1(x1, x1), ORN1(x1, x2))), XNOR(x1, x1))","(0.2242425652341889, 28)","[2, 1.7520304667947249, 0, 0.8080798795053805, 1.3631677676128955, 1.283682281237427, 1.6964172621385651, 0.33762709185916007, 1.1852597194461945, 0.38734313386419505, 1.1455393444739306, 2, 0.7296802295365525, 0.16795779849624504]"
87,16,"AND1(ANDN(Positive(x2), Negative(Positive(x2))), XNOR(x1, x1))","(0.2242558243879067, 10)","[1.2099992374603776, 1.9489626331648644, 1.3171490323558264, 0.14993612644035115, 1.677637493526396, 1.8739586702014774]"
87,17,"AND1(Positive(x2), XNOR(x1, x1))","(0.22426278335427385, 6)","[0.2466535822506568, 0.5908412518287154, 0.264931689101469]"
87,18,"AND1(ANDN(Negative(XOR1(AND1(x2, x2), AND1(x2, Positive(x2)))), AND1(XOR1(x1, x1), ORN1(x1, x2))), XNOR(x1, x1))","(0.2242921434174782, 21)","[1.5527746958715847, 2, 1.1026710343339672, 0.2711386344620623, 1.9350445739370574, 0.25331414238940064, 0.7472718604685619, 0.4961069714016345, 0, 2, 1.3139264585632418]"
87,19,"AND1(ANDN(Negative(NOR1(x2, x1)), Negative(Positive(x2))), XNOR(x1, x1))","(0.22430518919897524, 12)","[0.43431452988952035, 0.8583593969115202, 1.2585020253749213, 1.381939687681366, 0.7515941560350781, 1.760683885171457, 0.9964576675953969]"
