NGEN,NO,ind,fitness,theta
27,6,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(ANDN(Negative(x2), NOR1(x2, x2)), Positive(x1)), Positive(x1)))","(0.43821273562807117, 18)","[0.7501828643724342, 1.3506538112040574, 1.2129018156178948, 0.6033877870871946, 1.064835438788684, 1.2692285494351148, 0.7288675807377367, 0.6439962870594136, 1.9919451722837525, 1.6675773849454036]"
27,7,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(ANDN(Negative(x2), XNOR(x1, x1)), ORN1(x1, x1)), Positive(x1)))","(0.4390799904814999, 19)","[1.454500738078301, 1.1543620391482332, 0.9458503951399271, 1.2480369772945907, 0.8868960718723041, 0.5856551526389449, 1.9692919399681301, 0.7258655315350769, 0.25851293905502337, 0.4501728408516912]"
27,8,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(NAND(XNOR(x1, x2), NAND(NOR1(AND1(x1, x1), x1), x1)), ORN1(x1, x1)), Positive(x1)))","(0.43941540807596224, 24)","[0.8754886801359865, 0.22682239208786825, 1.7506193142295055, 0.598169289329264, 0.7256783213413049, 1.3437159366871345, 1.3164719745125288, 1.757802529117127, 0.1470742966262777, 0.8269881793509952, 0.3611529835149956, 1.0111918569045328]"
27,9,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(XNOR(x1, x1), Positive(x1)))","(0.43949726968687164, 12)","[1.459867966647251, 0.6649732136990365, 0.3415957047955147, 1.1510120042324892, 1.8399011310529538, 0.9539719689388049]"
27,10,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(ANDN(Positive(XOR1(x2, x1)), NOR1(x2, x2)), ORN1(x1, XOR1(ANDN(x1, x1), XOR1(x2, x1)))), Positive(x1)))","(0.43957578313510365, 27)","[0.7298269355297136, 0.8609993594485952, 1.1424901200811282, 0.8165618096374663, 0.42736114604803865, 1.066924792628257, 1.7728316127825472, 1.5011055284877504, 0.5937809934389784, 1.93763508791346, 1.6312345432695403, 1.7781737431805416, 1.292709118803516, 1.5845636909850667]"
27,11,"ORN1(ANDN(x2, x2), XOR1(x1, ANDN(NOR1(x1, x2), ORN1(x2, x2))))","(0.4398586187979936, 13)","[0.2676406755138374, 1.7308809968794514, 0.046198239834943866, 0.23495592857419356, 0.8558117498947255, 1.4926584234422193]"
27,12,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(ANDN(Negative(x2), XNOR(NOR1(Negative(AND1(x2, x2)), x2), x1)), Negative(x2)), Positive(x1)))","(0.43999206123814505, 23)","[0, 2, 0.864850087230336, 0.354985382057198, 1.9024210382045221, 0.6770573561246596, 0.9818588666715639, 0.9307923304451475, 0.1807332683819325, 1.0134358721282704, 1.8460775066092014, 0, 0.08734607946529505]"
27,13,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(NAND(XNOR(x1, x2), NAND(x2, x1)), ORN1(x1, x1)), Positive(x1)))","(0.4400315450066851, 20)","[1.696149666945526, 0.09382752461158161, 0.03457256165044997, 1.2508650067958353, 1.6313564608745832, 1.8475959378585105, 0.243805838570599, 0.5017284730531191, 0.793900739100921, 1.0141413600187417]"
27,14,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(ANDN(Negative(x2), XNOR(NOR1(x1, x2), x1)), Negative(x2)), Positive(x1)))","(0.4401819750473595, 20)","[2, 1.2714547524488249, 2, 1.725531862136576, 0.8042927315458956, 0, 0.04531095250947237, 1.2932948970803329, 0, 1.3024017053280148, 1.0601646712664232]"
27,15,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(XNOR(Negative(x1), x1), Positive(x1)))","(0.44023687043271065, 13)","[1.560993948137464, 0.7966616140961236, 0.8875832106042425, 1.2841170106232427, 0.9994028482980873, 1.2170419489048636, 0.9354206668743632]"
27,16,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(NAND(XNOR(x1, x2), NAND(x2, NAND(x1, x1))), ORN1(x1, NOR1(x2, x2))), Positive(x1)))","(0.4402641813623813, 24)","[0.6795287464994206, 1.2243063528892209, 1.047971557009225, 1.0821832168150876, 1.1103260774987749, 0.1541808868374941, 1.4935794640275006, 1.0814354617821054, 0.1961582144850651, 0.04656500290443444, 0.6323705600767242, 0.13615200958320806]"
27,17,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(NAND(XNOR(x1, x2), NAND(x2, x1)), ORN1(x1, NOR1(x2, x2))), Positive(x1)))","(0.4402654289192211, 22)","[0.6559277513771362, 0.3796989816490186, 1.3523561851961405, 1.5670322504627037, 0.200243789750991, 1.3028003639064192, 0.5022559718948518, 0.9620075214437613, 0.19287847947035353, 0.6653733256602044, 0.02202027293240416]"
27,18,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(ANDN(Negative(x2), NOR1(x2, x2)), ORN1(x1, XOR1(ANDN(x1, Positive(x1)), XOR1(x2, x1)))), Positive(x1)))","(0.44070909002824704, 26)","[1.7941826146905613, 0.02577578005792791, 0, 0.01992847525824404, 0.5060148679164712, 0, 0.4407621294544503, 1.6248765004073957, 0.9275479260194215, 0.8964555622577386, 0.2623232460371542, 0.2745056244602245, 0, 0.4174439509319856]"
27,19,"NOR1(ORN1(ORN1(x1, Positive(x1)), ORN1(x1, ANDN(AND1(Negative(NOR1(x2, x2)), x2), x1))), Positive(x2))","(0.4407948267397662, 18)","[0.520655367146317, 1.7642687044824374, 0.26308752817269987, 0.5003132727725914, 0.15238130961431207, 1.9821632038074068, 0.4871399251675912, 1.5122445213776725, 1.6933251883878375, 0.9833339451551979]"
28,0,"AND1(Positive(x2), XNOR(x1, x1))","(0.22426278335427385, 6)","[0.2466535822506568, 0.5908412518287154, 0.264931689101469]"
28,1,"NOR1(ORN1(ORN1(x1, x2), ORN1(x1, ANDN(AND1(Negative(NOR1(x2, Negative(XNOR(x2, x2)))), x2), x1))), Positive(x2))","(0.38019931658303346, 20)","[1.8367393490329555, 1.559513164199342, 1.1873841037184811, 2.0, 2.0, 0.020466215584686198, 2.0, 1.2374026477007756, 0.7112797727206557, 1.3613249840015051, 0.6155949963527945]"
28,2,"ORN1(ANDN(x2, x2), XOR1(x1, ANDN(x1, x1)))","(0.3967389958838916, 9)","[1.015997344966947, 0.7847176901725503, 0.40217693156120427, 0.12640235026264834]"
28,3,"AND1(ANDN(Negative(x1), AND1(x2, x2)), XNOR(x1, x1))","(0.40276906116818484, 10)","[2, 0.6232129803769708, 0.749083441018632, 0, 0.6156705329257044]"
28,4,"NOR1(ORN1(ORN1(x1, x2), ORN1(x1, ANDN(AND1(Negative(NOR1(x2, x2)), x2), x1))), Positive(x2))","(0.4246343971341786, 17)","[0.8299373939219776, 0, 1.249451873753329, 2, 1.4563604523423106, 0.038749434519724124, 2, 0, 0.9812553359660177]"
28,5,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(ANDN(Negative(x2), NOR1(x2, x2)), ORN1(x1, x1)), Positive(x1)))","(0.4366311650823423, 19)","[0.904155289530814, 0.927115190535444, 1.6714616052730296, 0.8806211589403643, 1.7812584004719292, 0.9805848287976626, 0.28113804496829387, 0.30418546929377266, 0.3847818673892238, 0.8507107308383552]"
28,6,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(ANDN(Negative(x2), NOR1(x2, x2)), ORN1(x1, XOR1(ANDN(x1, x1), XOR1(x2, x1)))), Positive(x1)))","(0.4375597910800729, 25)","[1.3710551778543782, 1.0795079369605745, 0.8918674684903196, 0.8733674104476934, 1.1331382288864678, 0.19118182731117317, 1.9956039712415696, 1.0517284023250255, 0.143234687987432, 0.38120140875555575, 0.18948441136230176, 0.40252213708418094, 1.329984597178121]"
28,7,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(ANDN(Negative(x2), NOR1(x2, x2)), Positive(x1)), Positive(x1)))","(0.43821273562807117, 18)","[0.7501828643724342, 1.3506538112040574, 1.2129018156178948, 0.6033877870871946, 1.064835438788684, 1.2692285494351148, 0.7288675807377367, 0.6439962870594136, 1.9919451722837525, 1.6675773849454036]"
28,8,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(ANDN(Negative(x2), XNOR(x1, x1)), ORN1(x1, x1)), Positive(x1)))","(0.4390799904814999, 19)","[1.454500738078301, 1.1543620391482332, 0.9458503951399271, 1.2480369772945907, 0.8868960718723041, 0.5856551526389449, 1.9692919399681301, 0.7258655315350769, 0.25851293905502337, 0.4501728408516912]"
28,9,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(NAND(XNOR(x1, x2), NAND(NOR1(AND1(x1, x1), x1), x1)), ORN1(x1, x1)), Positive(x1)))","(0.43941540807596224, 24)","[0.8754886801359865, 0.22682239208786825, 1.7506193142295055, 0.598169289329264, 0.7256783213413049, 1.3437159366871345, 1.3164719745125288, 1.757802529117127, 0.1470742966262777, 0.8269881793509952, 0.3611529835149956, 1.0111918569045328]"
28,10,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(XNOR(x1, x1), Positive(x1)))","(0.43949726968687164, 12)","[1.459867966647251, 0.6649732136990365, 0.3415957047955147, 1.1510120042324892, 1.8399011310529538, 0.9539719689388049]"
28,11,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(ANDN(Positive(XOR1(x2, x1)), NOR1(x2, x2)), ORN1(x1, XOR1(ANDN(x1, x1), XOR1(x2, x1)))), Positive(x1)))","(0.43957578313510365, 27)","[0.7298269355297136, 0.8609993594485952, 1.1424901200811282, 0.8165618096374663, 0.42736114604803865, 1.066924792628257, 1.7728316127825472, 1.5011055284877504, 0.5937809934389784, 1.93763508791346, 1.6312345432695403, 1.7781737431805416, 1.292709118803516, 1.5845636909850667]"
28,12,"ORN1(ANDN(x2, x2), XOR1(x1, ANDN(NOR1(x1, x2), ORN1(x2, x2))))","(0.4398586187979936, 13)","[0.2676406755138374, 1.7308809968794514, 0.046198239834943866, 0.23495592857419356, 0.8558117498947255, 1.4926584234422193]"
28,13,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(ANDN(Negative(x2), XNOR(NOR1(Negative(AND1(x2, x2)), x2), x1)), Negative(x2)), Positive(x1)))","(0.43999206123814505, 23)","[0, 2, 0.864850087230336, 0.354985382057198, 1.9024210382045221, 0.6770573561246596, 0.9818588666715639, 0.9307923304451475, 0.1807332683819325, 1.0134358721282704, 1.8460775066092014, 0, 0.08734607946529505]"
28,14,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(NAND(XNOR(x1, x2), NAND(x2, x1)), ORN1(x1, x1)), Positive(x1)))","(0.4400315450066851, 20)","[1.696149666945526, 0.09382752461158161, 0.03457256165044997, 1.2508650067958353, 1.6313564608745832, 1.8475959378585105, 0.243805838570599, 0.5017284730531191, 0.793900739100921, 1.0141413600187417]"
28,15,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(ANDN(Negative(x2), XNOR(NOR1(x1, x2), x1)), Negative(x2)), Positive(x1)))","(0.4401819750473595, 20)","[2, 1.2714547524488249, 2, 1.725531862136576, 0.8042927315458956, 0, 0.04531095250947237, 1.2932948970803329, 0, 1.3024017053280148, 1.0601646712664232]"
28,16,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(XNOR(Negative(x1), x1), Positive(x1)))","(0.44023687043271065, 13)","[1.560993948137464, 0.7966616140961236, 0.8875832106042425, 1.2841170106232427, 0.9994028482980873, 1.2170419489048636, 0.9354206668743632]"
28,17,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(NAND(XNOR(x1, x2), NAND(x2, NAND(x1, x1))), ORN1(x1, NOR1(x2, x2))), Positive(x1)))","(0.4402641813623813, 24)","[0.6795287464994206, 1.2243063528892209, 1.047971557009225, 1.0821832168150876, 1.1103260774987749, 0.1541808868374941, 1.4935794640275006, 1.0814354617821054, 0.1961582144850651, 0.04656500290443444, 0.6323705600767242, 0.13615200958320806]"
28,18,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(NAND(XNOR(x1, x2), NAND(x2, x1)), ORN1(x1, NOR1(x2, x2))), Positive(x1)))","(0.4402654289192211, 22)","[0.6559277513771362, 0.3796989816490186, 1.3523561851961405, 1.5670322504627037, 0.200243789750991, 1.3028003639064192, 0.5022559718948518, 0.9620075214437613, 0.19287847947035353, 0.6653733256602044, 0.02202027293240416]"
28,19,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(ANDN(Negative(x2), NOR1(x2, x2)), ORN1(x1, XOR1(ANDN(x1, Positive(x1)), XOR1(x2, x1)))), Positive(x1)))","(0.44070909002824704, 26)","[1.7941826146905613, 0.02577578005792791, 0, 0.01992847525824404, 0.5060148679164712, 0, 0.4407621294544503, 1.6248765004073957, 0.9275479260194215, 0.8964555622577386, 0.2623232460371542, 0.2745056244602245, 0, 0.4174439509319856]"
29,0,"AND1(Positive(x2), XNOR(x1, x1))","(0.22426278335427385, 6)","[0.2466535822506568, 0.5908412518287154, 0.264931689101469]"
29,1,"NOR1(ORN1(ORN1(x1, x2), ORN1(x1, ANDN(AND1(Negative(NOR1(x2, Negative(XNOR(x2, x2)))), x2), x1))), Positive(x2))","(0.38019931658303346, 20)","[1.8367393490329555, 1.559513164199342, 1.1873841037184811, 2.0, 2.0, 0.020466215584686198, 2.0, 1.2374026477007756, 0.7112797727206557, 1.3613249840015051, 0.6155949963527945]"
29,2,"ORN1(ANDN(x2, x2), XOR1(x1, ANDN(x1, x1)))","(0.3967389958838916, 9)","[1.015997344966947, 0.7847176901725503, 0.40217693156120427, 0.12640235026264834]"
29,3,"AND1(ANDN(Negative(x1), AND1(x2, x2)), XNOR(x1, x1))","(0.40276906116818484, 10)","[2, 0.6232129803769708, 0.749083441018632, 0, 0.6156705329257044]"
29,4,"NOR1(ORN1(ORN1(x1, x2), ORN1(x1, ANDN(AND1(Negative(NOR1(x2, x2)), x2), x1))), Positive(x2))","(0.4246343971341786, 17)","[0.8299373939219776, 0, 1.249451873753329, 2, 1.4563604523423106, 0.038749434519724124, 2, 0, 0.9812553359660177]"
29,5,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(ANDN(Negative(x2), NOR1(x2, x2)), ORN1(x1, x1)), Positive(x1)))","(0.4366311650823423, 19)","[0.904155289530814, 0.927115190535444, 1.6714616052730296, 0.8806211589403643, 1.7812584004719292, 0.9805848287976626, 0.28113804496829387, 0.30418546929377266, 0.3847818673892238, 0.8507107308383552]"
29,6,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(ANDN(Negative(x2), NOR1(x2, x2)), ORN1(x1, XOR1(ANDN(x1, x1), XOR1(x2, x1)))), Positive(x1)))","(0.4375597910800729, 25)","[1.3710551778543782, 1.0795079369605745, 0.8918674684903196, 0.8733674104476934, 1.1331382288864678, 0.19118182731117317, 1.9956039712415696, 1.0517284023250255, 0.143234687987432, 0.38120140875555575, 0.18948441136230176, 0.40252213708418094, 1.329984597178121]"
29,7,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(ANDN(Negative(x2), NOR1(x2, x2)), Positive(x1)), Positive(x1)))","(0.43821273562807117, 18)","[0.7501828643724342, 1.3506538112040574, 1.2129018156178948, 0.6033877870871946, 1.064835438788684, 1.2692285494351148, 0.7288675807377367, 0.6439962870594136, 1.9919451722837525, 1.6675773849454036]"
29,8,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(ANDN(Negative(x2), XNOR(x1, x1)), ORN1(x1, x1)), Positive(x1)))","(0.4390799904814999, 19)","[1.454500738078301, 1.1543620391482332, 0.9458503951399271, 1.2480369772945907, 0.8868960718723041, 0.5856551526389449, 1.9692919399681301, 0.7258655315350769, 0.25851293905502337, 0.4501728408516912]"
29,9,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(NAND(XNOR(x1, x2), NAND(NOR1(AND1(x1, x1), x1), x1)), ORN1(x1, x1)), Positive(x1)))","(0.43941540807596224, 24)","[0.8754886801359865, 0.22682239208786825, 1.7506193142295055, 0.598169289329264, 0.7256783213413049, 1.3437159366871345, 1.3164719745125288, 1.757802529117127, 0.1470742966262777, 0.8269881793509952, 0.3611529835149956, 1.0111918569045328]"
29,10,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(XNOR(x1, x1), Positive(x1)))","(0.43949726968687164, 12)","[1.459867966647251, 0.6649732136990365, 0.3415957047955147, 1.1510120042324892, 1.8399011310529538, 0.9539719689388049]"
29,11,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(ANDN(Positive(XOR1(x2, x1)), NOR1(x2, x2)), ORN1(x1, XOR1(ANDN(x1, x1), XOR1(x2, x1)))), Positive(x1)))","(0.43957578313510365, 27)","[0.7298269355297136, 0.8609993594485952, 1.1424901200811282, 0.8165618096374663, 0.42736114604803865, 1.066924792628257, 1.7728316127825472, 1.5011055284877504, 0.5937809934389784, 1.93763508791346, 1.6312345432695403, 1.7781737431805416, 1.292709118803516, 1.5845636909850667]"
29,12,"ORN1(ANDN(x2, x2), XOR1(x1, ANDN(NOR1(x1, x2), ORN1(x2, x2))))","(0.4398586187979936, 13)","[0.2676406755138374, 1.7308809968794514, 0.046198239834943866, 0.23495592857419356, 0.8558117498947255, 1.4926584234422193]"
29,13,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(ANDN(Negative(x2), XNOR(NOR1(Negative(AND1(x2, x2)), x2), x1)), Negative(x2)), Positive(x1)))","(0.43999206123814505, 23)","[0, 2, 0.864850087230336, 0.354985382057198, 1.9024210382045221, 0.6770573561246596, 0.9818588666715639, 0.9307923304451475, 0.1807332683819325, 1.0134358721282704, 1.8460775066092014, 0, 0.08734607946529505]"
29,14,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(NAND(XNOR(x1, x2), NAND(x2, x1)), ORN1(x1, x1)), Positive(x1)))","(0.4400315450066851, 20)","[1.696149666945526, 0.09382752461158161, 0.03457256165044997, 1.2508650067958353, 1.6313564608745832, 1.8475959378585105, 0.243805838570599, 0.5017284730531191, 0.793900739100921, 1.0141413600187417]"
29,15,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(ANDN(Negative(x2), XNOR(NOR1(x1, x2), x1)), Negative(x2)), Positive(x1)))","(0.4401819750473595, 20)","[2, 1.2714547524488249, 2, 1.725531862136576, 0.8042927315458956, 0, 0.04531095250947237, 1.2932948970803329, 0, 1.3024017053280148, 1.0601646712664232]"
29,16,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(XNOR(Negative(x1), x1), Positive(x1)))","(0.44023687043271065, 13)","[1.560993948137464, 0.7966616140961236, 0.8875832106042425, 1.2841170106232427, 0.9994028482980873, 1.2170419489048636, 0.9354206668743632]"
29,17,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(NAND(XNOR(x1, x2), NAND(x2, NAND(x1, x1))), ORN1(x1, NOR1(x2, x2))), Positive(x1)))","(0.4402641813623813, 24)","[0.6795287464994206, 1.2243063528892209, 1.047971557009225, 1.0821832168150876, 1.1103260774987749, 0.1541808868374941, 1.4935794640275006, 1.0814354617821054, 0.1961582144850651, 0.04656500290443444, 0.6323705600767242, 0.13615200958320806]"
29,18,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(NAND(XNOR(x1, x2), NAND(x2, x1)), ORN1(x1, NOR1(x2, x2))), Positive(x1)))","(0.4402654289192211, 22)","[0.6559277513771362, 0.3796989816490186, 1.3523561851961405, 1.5670322504627037, 0.200243789750991, 1.3028003639064192, 0.5022559718948518, 0.9620075214437613, 0.19287847947035353, 0.6653733256602044, 0.02202027293240416]"
29,19,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(ANDN(Negative(x2), NOR1(x2, x2)), ORN1(x1, XOR1(ANDN(x1, Positive(x1)), XOR1(x2, x1)))), Positive(x1)))","(0.44070909002824704, 26)","[1.7941826146905613, 0.02577578005792791, 0, 0.01992847525824404, 0.5060148679164712, 0, 0.4407621294544503, 1.6248765004073957, 0.9275479260194215, 0.8964555622577386, 0.2623232460371542, 0.2745056244602245, 0, 0.4174439509319856]"
30,0,"AND1(Positive(x2), XNOR(x1, x1))","(0.22426278335427385, 6)","[0.2466535822506568, 0.5908412518287154, 0.264931689101469]"
30,1,"NOR1(ORN1(ORN1(x1, x2), ORN1(x1, ANDN(AND1(Negative(NOR1(x2, Negative(XNOR(x2, x2)))), x2), x1))), Positive(x2))","(0.38019931658303346, 20)","[1.8367393490329555, 1.559513164199342, 1.1873841037184811, 2.0, 2.0, 0.020466215584686198, 2.0, 1.2374026477007756, 0.7112797727206557, 1.3613249840015051, 0.6155949963527945]"
30,2,"ORN1(ANDN(x2, x2), XOR1(x1, ANDN(x1, x1)))","(0.3967389958838916, 9)","[1.015997344966947, 0.7847176901725503, 0.40217693156120427, 0.12640235026264834]"
30,3,"AND1(ANDN(Negative(x1), AND1(x2, x2)), XNOR(x1, x1))","(0.40276906116818484, 10)","[2, 0.6232129803769708, 0.749083441018632, 0, 0.6156705329257044]"
30,4,"NOR1(ORN1(ORN1(x1, x2), ORN1(x1, ANDN(AND1(Negative(NOR1(x2, x2)), x2), x1))), Positive(x2))","(0.4246343971341786, 17)","[0.8299373939219776, 0, 1.249451873753329, 2, 1.4563604523423106, 0.038749434519724124, 2, 0, 0.9812553359660177]"
30,5,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(ANDN(Negative(x2), NOR1(x2, x2)), ORN1(x1, x1)), Positive(x1)))","(0.4366311650823423, 19)","[0.904155289530814, 0.927115190535444, 1.6714616052730296, 0.8806211589403643, 1.7812584004719292, 0.9805848287976626, 0.28113804496829387, 0.30418546929377266, 0.3847818673892238, 0.8507107308383552]"
30,6,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(ANDN(Negative(x2), NOR1(x2, x2)), ORN1(x1, XOR1(ANDN(x1, x1), XOR1(x2, x1)))), Positive(x1)))","(0.4375597910800729, 25)","[1.3710551778543782, 1.0795079369605745, 0.8918674684903196, 0.8733674104476934, 1.1331382288864678, 0.19118182731117317, 1.9956039712415696, 1.0517284023250255, 0.143234687987432, 0.38120140875555575, 0.18948441136230176, 0.40252213708418094, 1.329984597178121]"
30,7,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(ANDN(Negative(x2), NOR1(x2, x2)), Positive(x1)), Positive(x1)))","(0.43821273562807117, 18)","[0.7501828643724342, 1.3506538112040574, 1.2129018156178948, 0.6033877870871946, 1.064835438788684, 1.2692285494351148, 0.7288675807377367, 0.6439962870594136, 1.9919451722837525, 1.6675773849454036]"
30,8,"ORN1(ANDN(x2, x2), XOR1(x1, ANDN(NOR1(x1, x2), XNOR(x2, x2))))","(0.4383874411867356, 13)","[1.3564401881014507, 0.6237256668211351, 0.2699814525586688, 0.24799725900071556, 0.8299817943933776, 0.5057640847315481]"
30,9,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(ANDN(Negative(x2), XNOR(x1, x1)), ORN1(x1, x1)), Positive(x1)))","(0.4390799904814999, 19)","[1.454500738078301, 1.1543620391482332, 0.9458503951399271, 1.2480369772945907, 0.8868960718723041, 0.5856551526389449, 1.9692919399681301, 0.7258655315350769, 0.25851293905502337, 0.4501728408516912]"
30,10,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(NAND(XNOR(x1, x2), NAND(NOR1(AND1(x1, x1), x1), x1)), ORN1(x1, x1)), Positive(x1)))","(0.43941540807596224, 24)","[0.8754886801359865, 0.22682239208786825, 1.7506193142295055, 0.598169289329264, 0.7256783213413049, 1.3437159366871345, 1.3164719745125288, 1.757802529117127, 0.1470742966262777, 0.8269881793509952, 0.3611529835149956, 1.0111918569045328]"
30,11,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(XNOR(x1, x1), Positive(x1)))","(0.43949726968687164, 12)","[1.459867966647251, 0.6649732136990365, 0.3415957047955147, 1.1510120042324892, 1.8399011310529538, 0.9539719689388049]"
30,12,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(ANDN(Positive(XOR1(x2, x1)), NOR1(x2, x2)), ORN1(x1, XOR1(ANDN(x1, x1), XOR1(x2, x1)))), Positive(x1)))","(0.43957578313510365, 27)","[0.7298269355297136, 0.8609993594485952, 1.1424901200811282, 0.8165618096374663, 0.42736114604803865, 1.066924792628257, 1.7728316127825472, 1.5011055284877504, 0.5937809934389784, 1.93763508791346, 1.6312345432695403, 1.7781737431805416, 1.292709118803516, 1.5845636909850667]"
30,13,"ORN1(ANDN(x2, x2), XOR1(x1, ANDN(NOR1(x1, x2), ORN1(x2, x2))))","(0.4398586187979936, 13)","[0.2676406755138374, 1.7308809968794514, 0.046198239834943866, 0.23495592857419356, 0.8558117498947255, 1.4926584234422193]"
30,14,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(ANDN(Negative(x2), XNOR(NOR1(Negative(AND1(x2, x2)), x2), x1)), Negative(x2)), Positive(x1)))","(0.43999206123814505, 23)","[0, 2, 0.864850087230336, 0.354985382057198, 1.9024210382045221, 0.6770573561246596, 0.9818588666715639, 0.9307923304451475, 0.1807332683819325, 1.0134358721282704, 1.8460775066092014, 0, 0.08734607946529505]"
30,15,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(NAND(XNOR(x1, x2), NAND(x2, x1)), ORN1(x1, x1)), Positive(x1)))","(0.4400315450066851, 20)","[1.696149666945526, 0.09382752461158161, 0.03457256165044997, 1.2508650067958353, 1.6313564608745832, 1.8475959378585105, 0.243805838570599, 0.5017284730531191, 0.793900739100921, 1.0141413600187417]"
30,16,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(ANDN(Negative(x2), XNOR(NOR1(x1, x2), x1)), Negative(x2)), Positive(x1)))","(0.4401819750473595, 20)","[2, 1.2714547524488249, 2, 1.725531862136576, 0.8042927315458956, 0, 0.04531095250947237, 1.2932948970803329, 0, 1.3024017053280148, 1.0601646712664232]"
30,17,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(XNOR(Negative(x1), x1), Positive(x1)))","(0.44023687043271065, 13)","[1.560993948137464, 0.7966616140961236, 0.8875832106042425, 1.2841170106232427, 0.9994028482980873, 1.2170419489048636, 0.9354206668743632]"
30,18,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(NAND(XNOR(x1, x2), NAND(x2, NAND(x1, x1))), ORN1(x1, NOR1(x2, x2))), Positive(x1)))","(0.4402641813623813, 24)","[0.6795287464994206, 1.2243063528892209, 1.047971557009225, 1.0821832168150876, 1.1103260774987749, 0.1541808868374941, 1.4935794640275006, 1.0814354617821054, 0.1961582144850651, 0.04656500290443444, 0.6323705600767242, 0.13615200958320806]"
30,19,"NOR1(XNOR(XOR1(x2, x2), x2), AND1(ANDN(NAND(XNOR(x1, x2), NAND(x2, x1)), ORN1(x1, NOR1(x2, x2))), Positive(x1)))","(0.4402654289192211, 22)","[0.6559277513771362, 0.3796989816490186, 1.3523561851961405, 1.5670322504627037, 0.200243789750991, 1.3028003639064192, 0.5022559718948518, 0.9620075214437613, 0.19287847947035353, 0.6653733256602044, 0.02202027293240416]"
31,0,"AND1(Positive(x2), XNOR(x1, x1))","(0.22426278335427385, 6)","[0.2466535822506568, 0.5908412518287154, 0.264931689101469]"
31,1,"NOR1(ORN1(ORN1(x1, x2), ORN1(x1, ANDN(AND1(Negative(NOR1(x2, Negative(XNOR(x2, x2)))), x2), x1))), Positive(x2))","(0.38019931658303346, 20)","[1.8367393490329555, 1.559513164199342, 1.1873841037184811, 2.0, 2.0, 0.020466215584686198, 2.0, 1.2374026477007756, 0.7112797727206557, 1.3613249840015051, 0.6155949963527945]"
